filename$LOC$class_value$message
epan/dissectors/packet-lacp.c$            set_actual_length(tvb, tvb_captured_length(tvb) - length_remaining)_$0$This maybe should remove the else, leave the store to offset and be adjusted to: _  _         offset += 2_ _     } _ } _ set_actual_length(tvb, offset)_ _ proto_item_set_len(lacp_item, tvb_captured_length(tvb))_ _ return tvb_captured_length(tvb)_ _  _ Presumably, there could still be bytes after the HP specific bytes?_
epan/dissectors/packet-lacp.c$            proto_item_set_len(lacp_item, tvb_captured_length(tvb))_$0$This maybe should remove the else, leave the store to offset and be adjusted to: _  _         offset += 2_ _     } _ } _ set_actual_length(tvb, offset)_ _ proto_item_set_len(lacp_item, tvb_captured_length(tvb))_ _ return tvb_captured_length(tvb)_ _  _ Presumably, there could still be bytes after the HP specific bytes?_
epan/dissectors/packet-lacp.c$        }$0$This maybe should remove the else, leave the store to offset and be adjusted to: _  _         offset += 2_ _     } _ } _ set_actual_length(tvb, offset)_ _ proto_item_set_len(lacp_item, tvb_captured_length(tvb))_ _ return tvb_captured_length(tvb)_ _  _ Presumably, there could still be bytes after the HP specific bytes?_
epan/dissectors/packet-lacp.c$    }$0$This maybe should remove the else, leave the store to offset and be adjusted to: _  _         offset += 2_ _     } _ } _ set_actual_length(tvb, offset)_ _ proto_item_set_len(lacp_item, tvb_captured_length(tvb))_ _ return tvb_captured_length(tvb)_ _  _ Presumably, there could still be bytes after the HP specific bytes?_
epan/dissectors/packet-lacp.c$    return tvb_captured_length(tvb)_$0$This maybe should remove the else, leave the store to offset and be adjusted to: _  _         offset += 2_ _     } _ } _ set_actual_length(tvb, offset)_ _ proto_item_set_len(lacp_item, tvb_captured_length(tvb))_ _ return tvb_captured_length(tvb)_ _  _ Presumably, there could still be bytes after the HP specific bytes?_
epan/dissectors/packet-lacp.c$        } else {$0$for me it it not a problem_
epan/dissectors/packet-lacp.c$            /* Not the HP specific extras.  Don't claim the remaining data.  It may actually be an ethernet trailer. */$0$for me it it not a problem_
epan/dissectors/packet-lacp.c$            set_actual_length(tvb, tvb_captured_length(tvb) - length_remaining)_$0$for me it it not a problem_
epan/dissectors/packet-lacp.c$            proto_item_set_len(lacp_item, tvb_captured_length(tvb))_$0$for me it it not a problem_
epan/dissectors/packet-lacp.c$        }$0$for me it it not a problem_
epan/dissectors/packet-lacp.c$    }$0$for me it it not a problem_
epan/dissectors/packet-lacp.c$    return tvb_captured_length(tvb)_$0$for me it it not a problem_
epan/dissectors/packet-lacp.c$        } else {$0$it is very specific case i think _)_
epan/dissectors/packet-lacp.c$            /* Not the HP specific extras.  Don't claim the remaining data.  It may actually be an ethernet trailer. */$0$it is very specific case i think _)_
epan/dissectors/packet-lacp.c$            set_actual_length(tvb, tvb_captured_length(tvb) - length_remaining)_$0$it is very specific case i think _)_
epan/dissectors/packet-lacp.c$            proto_item_set_len(lacp_item, tvb_captured_length(tvb))_$0$it is very specific case i think _)_
epan/dissectors/packet-lacp.c$        }$0$it is very specific case i think _)_
epan/dissectors/packet-lacp.c$    }$0$it is very specific case i think _)_
epan/dissectors/packet-lacp.c$    return tvb_captured_length(tvb)_$0$it is very specific case i think _)_
epan/dissectors/packet-lacp.c$        } else {$0$I don't have any examples, but I think it is a more complete answer.  My initial patch only fixed my specific use case.  This additional change would also fix the case where there is HP specific LACP data, and the capture was taken on a TAP that adds a trailer._
epan/dissectors/packet-lacp.c$            /* Not the HP specific extras.  Don't claim the remaining data.  It may actually be an ethernet trailer. */$0$I don't have any examples, but I think it is a more complete answer.  My initial patch only fixed my specific use case.  This additional change would also fix the case where there is HP specific LACP data, and the capture was taken on a TAP that adds a trailer._
epan/dissectors/packet-lacp.c$            set_actual_length(tvb, tvb_captured_length(tvb) - length_remaining)_$0$I don't have any examples, but I think it is a more complete answer.  My initial patch only fixed my specific use case.  This additional change would also fix the case where there is HP specific LACP data, and the capture was taken on a TAP that adds a trailer._
epan/dissectors/packet-lacp.c$            proto_item_set_len(lacp_item, tvb_captured_length(tvb))_$0$I don't have any examples, but I think it is a more complete answer.  My initial patch only fixed my specific use case.  This additional change would also fix the case where there is HP specific LACP data, and the capture was taken on a TAP that adds a trailer._
epan/dissectors/packet-lacp.c$        }$0$I don't have any examples, but I think it is a more complete answer.  My initial patch only fixed my specific use case.  This additional change would also fix the case where there is HP specific LACP data, and the capture was taken on a TAP that adds a trailer._
epan/dissectors/packet-lacp.c$    }$0$I don't have any examples, but I think it is a more complete answer.  My initial patch only fixed my specific use case.  This additional change would also fix the case where there is HP specific LACP data, and the capture was taken on a TAP that adds a trailer._
epan/dissectors/packet-lacp.c$    return tvb_captured_length(tvb)_$0$I don't have any examples, but I think it is a more complete answer.  My initial patch only fixed my specific use case.  This additional change would also fix the case where there is HP specific LACP data, and the capture was taken on a TAP that adds a trailer._
epan/dissectors/packet-rtp.c$    return tvb_reported_length(tvb)_$0$you can omit this call and use a tail call: _  _  return dissect_rtp(tvb_sub, pinfo, tree, data)__
epan/dissectors/packet-rtp.c$    return tvb_reported_length(tvb)_$0$ah okay, I missed the +2 part. Let's go for the current approach then, it does not really matter._
epan/dissectors/packet-rtp.c$    return tvb_reported_length(tvb)_$0$Should it be like this: _ return dissect_rtp(tvb_sub, pinfo, tree, data) + 2_ // plus length field _  _ I tried both, they both run correctly. It seems return value doesn't matter._
epan/dissectors/packet-rtp.c$    proto_tree_add_item_ret_uint(tree, hf_rfc4571_header_len, tvb, offset, 2, ENC_NA, &length)_$0$This works, but due to the use ot tcp_dissect_pdus, it would have been sufficient to check tvb_reported_length or tvb_reported_length_remaining. (You do not have to change this if you prefer this.)_
epan/dissectors/packet-rtp.c$    proto_tree_add_item_ret_uint(tree, hf_rfc4571_header_len, tvb, offset, 2, ENC_NA, &length)_$0$Either: _  _  if (tvb_reported_length(tvb) <= 2) { // or == 2 _  _ or _  _  if (tvb_reported_length_remaining(tvb, 2) == 0) {_
epan/dissectors/packet-rtp.c$    proto_tree_add_item_ret_uint(tree, hf_rfc4571_header_len, tvb, offset, 2, ENC_NA, &length)_$0$Should it be like this? _ if (tvb_reported_length_remaining(tvb, 2) == 0) { _      return 2_ _  } _ Or _ if (tvb_reported_length_remaining(tvb, 0) == 2) { _      return 2_ _  }_
epan/dissectors/packet-rtp.c$    return tvb_reported_length(tvb)_$0$since this is already the RTP dissector, what about calling dissect_rtp directly as what happening in the old code?_
epan/dissectors/packet-rtp.c$    return tvb_reported_length(tvb)_$0$Reasonable._
epan/dissectors/packet-rtp.c$    offset += 2_$0$"https://tools.ietf.org/html/rfc4571#section-2 _ ""Zero is a valid value for LENGTH, and it codes the null packet."" _  _ You could presumably check for: _  _  if (tvb_reported_length_remaining(tvb, 0) == 0) { _      return 2_ _  }_"
epan/dissectors/packet-rtp.c$    offset += 2_$0$Currently only packages with RTP or RTCP header will be dissected, see line 1716. _ Maybe null packet should be consider._
epan/dissectors/packet-rtp.c$    guint16 rtcp_type = tvb_get_ntohs(tvb, offset+1)_$0$Is this correct? The payload type is a 8-bit field, not 16-bit: _  _ - 200 https://tools.ietf.org/html/rfc3550#section-6.4.1 _ - 201 https://tools.ietf.org/html/rfc3550#section-6.4.2 _ - 202 https://tools.ietf.org/html/rfc3550#section-6.5 _ - 203 https://tools.ietf.org/html/rfc3550#section-6.6 _  _ Furthermore, it appears that the RTP dissector will invoke RTCP by itself, why do you have this special case here?_
epan/dissectors/packet-rtp.c$    guint16 rtcp_type = tvb_get_ntohs(tvb, offset+1)_$0$Yes, it's already handled in RTP dissector(line 1940).  _ I'll remove the RTCP call here._
epan/dissectors/packet-rtp.c$    guint16 rtcp_type = tvb_get_ntohs(tvb, offset+1)_$0$1. It's a mistake, it should be 8-bit. _ 2. RTCP is also encapsulated in RFC4571, it should be dissected too._
epan/dissectors/packet-rtp.c$    guint16 rtcp_type = tvb_get_ntohs(tvb, offset+1)_$0$2. is this not handled by the RTP dissector already? What happens if you remove the special case for codes 200 < tcp_type < 204? _  _ Why only those codes, there appear to be more codes specific to RTCP_
epan/dissectors/packet-rtp.c$#include <epan/dissectors/packet-tcp.h>$0$"replace it by _ #include ""packet-tcp.h"" in line 54_"
epan/dissectors/packet-rtp.c$    guint16 rtp_length = tvb_get_ntohs(tvb, offset)_ /* length field is at the beginning, 2 byes */$0$there is a typo_
tools/macos-setup-brew.sh$#brew install qt5$0$this is an unrelated change that should not be included_
epan/dissectors/packet-ieee80211.c$"	expert_add_info_format(pinfo, tree, &ei_ieee80211_wfa_60g_attr_len_invalid, ""Packet too short for 60G capability attribute"")_"$0$indent use space (also for next line)_
epan/dissectors/packet-ieee80211.c$"	expert_add_info_format(pinfo, tree, &ei_ieee80211_wfa_60g_attr_len_invalid, ""Packet too short for 60G capability attribute"")_"$1$Done_
epan/dissectors/packet-f5ethtrailer.c$/* some new text - git testing */$0$This will be gone on the next patch set...  inadvertantly left in from a test..._
epan/dissectors/packet-smb2.c$		if ((err = gcry_cipher_ctl(cipher_hd, GCRYCTL_SET_CCM_LENGTHS, lengths, sizeof(lengths)))) {$0$This is only available since Libgcrypt 1.6. We for some reason require 1.4.2 at minimum. _  _ Either guard this, or decide that we do not care about Ubuntu 16.04/Debian Jessie/RHEL 7 and adjust CMakeLists.txt and other files accordingly. We probably want to support RHEL 7, so this should probably be guarded._
epan/dissectors/packet-smb2.c$		if ((err = gcry_cipher_ctl(cipher_hd, GCRYCTL_SET_CCM_LENGTHS, lengths, sizeof(lengths)))) {$0$this is already guarded with 1.6 check, see the ifdef above_
epan/dissectors/packet-smb2.c$		if ((err = gcry_cipher_ctl(cipher_hd, GCRYCTL_SET_CCM_LENGTHS, lengths, sizeof(lengths)))) {$0$a cool, I somehow missed that_
epan/dissectors/packet-smb2.c$ good:$0$While I don't see bugs in this code, perhaps it can be rewritten to avoid goto? E.g. this structure: _  _  gboolean try_ccm = TRUE, try_gcm = TRUE_ _  _  if (try_ccm) { _     ok = do_decrypt(...)_ _     ... _  } _  if (!ok && try_gcm) { _     ok = do_decrypt(...)_ _     ... _  } _  if (!ok) { _      return NULL_ _  }_
epan/dissectors/packet-quic.c$ * https://tools.ietf.org/html/draft-ietf-quic-transport-25$0$Update also here_
epan/dissectors/packet-quic.c$ * https://tools.ietf.org/html/draft-ietf-quic-transport-25$1$Done_
ui/software_update.c$const char *software_update_info() {$0$This is C, so that should probably be _  _     const char *software_update_info(void)_
ui/software_update.c$const char *software_update_info() {$1$Done_
ui/software_update.c$const char *software_update_info() {$0$Same here._
ui/software_update.c$const char *software_update_info() {$1$Done_
ui/software_update.c$const char *software_update_info() {$0$And here._
ui/software_update.c$const char *software_update_info() {$1$Done_
epan/dissectors/packet-lwres.c$                        format_text(wmem_packet_scope(), dname, dlen))_$1$Because format_text is also used on line 572, it might be better to factor into one call with a name_out var_
epan/dissectors/packet-lwres.c$                        format_text(wmem_packet_scope(), dname, dlen))_$1$Because format_text is also used on line 612, it might be better to factor into one call with a name_out var_
ui/qt/io_graph_dialog.cpp$        static guint num_io_graphs_ = 0_$0$Since UAT is a global thing, for consistency with other UATs I would probably keep this at tje global scope._
ui/qt/io_graph_dialog.cpp$        static guint num_io_graphs_ = 0_$0$"The uat_new function is documented to export the applied changes through the ""data_ptr"" and ""num_items_ptr"" arguments. It indeed does not reflect pending changes._"
ui/qt/io_graph_dialog.cpp$        static guint num_io_graphs_ = 0_$0$"One thing that's not so clear, when keeping it global is the fact that the variable reflects the saved values and not necessarily the ""current unsaved changes""._"
epan/dissectors/packet-eap.c$            (eap_type == EAP_TYPE_FAST) || (eap_type == EAP_TYPE_TEAP) {$0$This does not build. Missing a closing )._
epan/dissectors/packet-eap.c$            (eap_type == EAP_TYPE_FAST) || (eap_type == EAP_TYPE_TEAP) {$0$Oups_
epan/dissectors/packet-eap.c$            (eap_type == EAP_TYPE_FAST)) {$0$Does this need to be changed too? According to https://tools.ietf.org/html/rfc7170#section-3.1 there is a version field somewhere._
epan/dissectors/packet-acdr.c$        if (source_cid < 0xFFFF) {$0$Can you suggest an alternative way to do this, maybe without having 2 different hf fields? _  _ It's the same for dest_cid. _  _ The value is unsigned short, but specifically MAX_USHORT should be displayed as -1. All the other values should be unsigned._
epan/dissectors/packet-acdr.c$            src_id = source_cid_$0$Can you suggest an alternative way to do this, maybe without having 2 different hf fields? _  _ It's the same for dest_cid. _  _ The value is unsigned short, but specifically MAX_USHORT should be displayed as -1. All the other values should be unsigned._
epan/dissectors/packet-acdr.c$            proto_tree_add_item(acdr_tree, hf_acdr_sourceid, tvb, offset, cid_byte_length,$0$Can you suggest an alternative way to do this, maybe without having 2 different hf fields? _  _ It's the same for dest_cid. _  _ The value is unsigned short, but specifically MAX_USHORT should be displayed as -1. All the other values should be unsigned._
epan/dissectors/packet-acdr.c$                                ENC_BIG_ENDIAN)_$0$Can you suggest an alternative way to do this, maybe without having 2 different hf fields? _  _ It's the same for dest_cid. _  _ The value is unsigned short, but specifically MAX_USHORT should be displayed as -1. All the other values should be unsigned._
epan/dissectors/packet-acdr.c$        } else {$0$Can you suggest an alternative way to do this, maybe without having 2 different hf fields? _  _ It's the same for dest_cid. _  _ The value is unsigned short, but specifically MAX_USHORT should be displayed as -1. All the other values should be unsigned._
epan/dissectors/packet-acdr.c$            src_id = -1_$0$Can you suggest an alternative way to do this, maybe without having 2 different hf fields? _  _ It's the same for dest_cid. _  _ The value is unsigned short, but specifically MAX_USHORT should be displayed as -1. All the other values should be unsigned._
epan/dissectors/packet-acdr.c$            proto_tree_add_item(acdr_tree, hf_acdr_sourceid_negative, tvb, offset, cid_byte_length,$0$Can you suggest an alternative way to do this, maybe without having 2 different hf fields? _  _ It's the same for dest_cid. _  _ The value is unsigned short, but specifically MAX_USHORT should be displayed as -1. All the other values should be unsigned._
epan/dissectors/packet-acdr.c$                                ENC_BIG_ENDIAN)_$0$Can you suggest an alternative way to do this, maybe without having 2 different hf fields? _  _ It's the same for dest_cid. _  _ The value is unsigned short, but specifically MAX_USHORT should be displayed as -1. All the other values should be unsigned._
epan/dissectors/packet-acdr.c$        if (source_cid < 0xFFFF) {$0$Can you suggest another way to do this? _  _ It's the same for dest_cid. _  _ The value is_
epan/dissectors/packet-acdr.c$            src_id = source_cid_$0$Can you suggest another way to do this? _  _ It's the same for dest_cid. _  _ The value is_
epan/dissectors/packet-acdr.c$            proto_tree_add_item(acdr_tree, hf_acdr_sourceid, tvb, offset, cid_byte_length,$0$Can you suggest another way to do this? _  _ It's the same for dest_cid. _  _ The value is_
epan/dissectors/packet-acdr.c$                                ENC_BIG_ENDIAN)_$0$Can you suggest another way to do this? _  _ It's the same for dest_cid. _  _ The value is_
epan/dissectors/packet-acdr.c$        } else {$0$Can you suggest another way to do this? _  _ It's the same for dest_cid. _  _ The value is_
epan/dissectors/packet-acdr.c$            src_id = -1_$0$Can you suggest another way to do this? _  _ It's the same for dest_cid. _  _ The value is_
epan/dissectors/packet-acdr.c$            proto_tree_add_item(acdr_tree, hf_acdr_sourceid_negative, tvb, offset, cid_byte_length,$0$Can you suggest another way to do this? _  _ It's the same for dest_cid. _  _ The value is_
epan/dissectors/packet-acdr.c$                                ENC_BIG_ENDIAN)_$0$Can you suggest another way to do this? _  _ It's the same for dest_cid. _  _ The value is_
epan/dissectors/packet-acdr.c$        if (source_cid < 0xFFFF) {$1$Great, thanks!_
epan/dissectors/packet-acdr.c$            src_id = source_cid_$1$Great, thanks!_
epan/dissectors/packet-acdr.c$            proto_tree_add_item(acdr_tree, hf_acdr_sourceid, tvb, offset, cid_byte_length,$1$Great, thanks!_
epan/dissectors/packet-acdr.c$                                ENC_BIG_ENDIAN)_$1$Great, thanks!_
epan/dissectors/packet-acdr.c$        } else {$1$Great, thanks!_
epan/dissectors/packet-acdr.c$            src_id = -1_$1$Great, thanks!_
epan/dissectors/packet-acdr.c$            proto_tree_add_item(acdr_tree, hf_acdr_sourceid_negative, tvb, offset, cid_byte_length,$1$Great, thanks!_
epan/dissectors/packet-acdr.c$                                ENC_BIG_ENDIAN)_$1$Great, thanks!_
epan/dissectors/packet-acdr.c$        if (source_cid < 0xFFFF) {$0$You can fully control the display using proto_tree_add_uint_format_value()_
epan/dissectors/packet-acdr.c$            src_id = source_cid_$0$You can fully control the display using proto_tree_add_uint_format_value()_
epan/dissectors/packet-acdr.c$            proto_tree_add_item(acdr_tree, hf_acdr_sourceid, tvb, offset, cid_byte_length,$0$You can fully control the display using proto_tree_add_uint_format_value()_
epan/dissectors/packet-acdr.c$                                ENC_BIG_ENDIAN)_$0$You can fully control the display using proto_tree_add_uint_format_value()_
epan/dissectors/packet-acdr.c$        } else {$0$You can fully control the display using proto_tree_add_uint_format_value()_
epan/dissectors/packet-acdr.c$            src_id = -1_$0$You can fully control the display using proto_tree_add_uint_format_value()_
epan/dissectors/packet-acdr.c$            proto_tree_add_item(acdr_tree, hf_acdr_sourceid_negative, tvb, offset, cid_byte_length,$0$You can fully control the display using proto_tree_add_uint_format_value()_
epan/dissectors/packet-acdr.c$                                ENC_BIG_ENDIAN)_$0$You can fully control the display using proto_tree_add_uint_format_value()_
epan/dissectors/packet-acdr.c$$0$Globals are bad for keeping data of individually dissected packets and dissection is not always guaranteed to go in packet order._
epan/dissectors/packet-acdr.c$$0$Can you suggest an alternative way to detect missed packets? It looks like this array is used to store the last sequence number for each ip, then the next packet compares against it._
epan/dissectors/packet-acdr.c$$0$Use ipproto_val_ext instead of recreating a small subset._
epan/dissectors/packet-acdr.c$$1$Done_
epan/dissectors/packet-acdr.c$$0$Typically all hf_ are kept together, followed by all ett_, followed by expert_info and dissector_handles/tables.  The hf_ here seem to be interspersed with the value_strings._
epan/dissectors/packet-acdr.c$$1$Done_
epan/dissectors/packet-acdr.c$static void$0$This is the function that needs improvement/refactoring so that the dissector table can be used for all cases._
epan/dissectors/packet-acdr.c$$0$The data dissector should be called here if the dissector table doesn't return any data (once all cases below are handled)_
epan/dissectors/packet-acdr.c$            break_$0$"If this is still a proprietary plugin, it won't be registered by Wireshark in the dissector table and the data dissector can be called above.  Otherwise this ""media type"" can be registered by the plugin._"
epan/dissectors/packet-acdr.c$$0$Perhaps a heuristic dissector needs to be created in the RTP dissector for payload and have a similar setup for ACDR as was created for ACDR with JSON in UDP._
epan/dissectors/packet-acdr.c$$0$Not sure why the current_proto needs to be saved._
epan/dissectors/packet-acdr.c$$1$Done_
epan/dissectors/packet-acdr.c$#define PORT_AC_DR 925$0$925 is not officially registered for this port: _ https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml?search=925 _  _ Is there some heuristics that you can use to detect your protocol instead of registering a fixed port number?_
epan/dissectors/packet-acdr.c$#define PORT_AC_DR 925$0$We don't have any other way. The protocol has no magic number._
epan/dissectors/packet-acdr.c$                                       OldDissectorHandle)_$0$Setting dissectors like this is probably an misuse of the API, isn't it? _ Likewise below._
epan/dissectors/packet-acdr.c$                                       OldDissectorHandle)_$0$I'll describe the use-case, and let you suggest an alternative (or approve :)) _  _ Some packet types have an additional IP and UDP headers (wrapped by ACDR). The packet looks like this: _  _  PHY, MAC, IP, UDP, ACDR, IP, UDP, SIP _  _ When the extra header is generated, the ACDR implementation always generates UDP, even if the original packet was TCP. _  _ See for example packet number 2 in the capture attached to the bugreport. _  _ VoiceAI can also has the extra headers. When it does, we want to inform WS that the UDP data in this packet should be decoded as JSON (it's also done for T38 below), but we can't call the JSON dissector directly, because what we pass is IP data. So we set it temporarily, dissect IP, then restore the previous value. _  _ Can you suggest an alternative?_
epan/dissectors/packet-acdr.c$                                       OldDissectorHandle)_$0$ping?_
epan/dissectors/packet-acdr.c$"                    col_add_fstr(pinfo->cinfo, COL_INFO, ""TLS row data"")_"$0$"did you mean ""raw data""? there is a TLS dissector fwiw_"
epan/dissectors/packet-acdr.c$"                    col_add_fstr(pinfo->cinfo, COL_INFO, ""TLS row data"")_"$1$Done_
epan/dissectors/packet-acdr.c$"                    col_add_fstr(pinfo->cinfo, COL_INFO, ""TLS row data"")_"$0$Regarding the TLS dissector, the data here is not TLS. It's the decrypted data before/after passing TLS (before on Tx, after on Rx)._
epan/dissectors/packet-acdr.c$"                        col_set_str(pinfo->cinfo, COL_PROTOCOL, ""XML"")_"$0$isn't the XML dissector supposed to to do this?_
epan/dissectors/packet-acdr.c$"                        col_set_str(pinfo->cinfo, COL_PROTOCOL, ""XML"")_"$0$"Without it, the packet appears as ""AC DR/XML"". With this, it appears as ""XML/XML"". _  _ I'll remove it._"
epan/dissectors/packet-acdr.c$"                        col_set_str(pinfo->cinfo, COL_PROTOCOL, ""XML"")_"$0$I'll try to check this._
epan/dissectors/packet-acdr.c$        if (strncmp(tree->last_child->finfo->hfinfo->name,$0$I am not sure if you are supposed to query the tree like this_
epan/dissectors/packet-acdr.c$        if (strncmp(tree->last_child->finfo->hfinfo->name,$0$ping_
epan/dissectors/packet-acdr.c$        if (strncmp(tree->last_child->finfo->hfinfo->name,$0$What should I do then?_
epan/dissectors/packet-acdr.c$                                   10, &global_acdr_udp_port)_$0$remove this preference, _ dissector_add_uint_with_preference can be used for this (search for other examples in the source tree/documentation)_
epan/dissectors/packet-acdr.c$                                   10, &global_acdr_udp_port)_$1$Done_
epan/dissectors/packet-acdr.c$    //	static dissector_handle_t acdr_dissector_handle_$0$there are many commented code like this, can you clean this up throughout the file?_
epan/dissectors/packet-acdr.c$    //	static dissector_handle_t acdr_dissector_handle_$1$Done_
epan/dissectors/packet-acdr.c$"                ""t38_udp"")_"$0$"Remove the check for t38, it has been ""t38_udp"" since v1.99.1rc0-591-gf92ed4df2d_"
epan/dissectors/packet-acdr.c$"                ""t38_udp"")_"$1$Done_
epan/dissectors/packet-acdr.c$"        tpncp_dissector_handle = find_dissector(""tpncpm"")_"$0$this dissector does not seem to exist, can it be removed? tpncp does exist_
epan/dissectors/packet-acdr.c$"        tpncp_dissector_handle = find_dissector(""tpncpm"")_"$0$Once https://code.wireshark.org/review/35467 is accepted, this can be removed._
epan/dissectors/packet-acdr.c$"        tpncp_dissector_handle = find_dissector(""tpncpm"")_"$0$In that case, add a comment describing this situation and clarifying the intent._
epan/dissectors/packet-acdr.c$"        tpncp_dissector_handle = find_dissector(""tpncpm"")_"$1$Done_
epan/dissectors/packet-acdr.c$"        tpncp_dissector_handle = find_dissector(""tpncpm"")_"$0$This is an internal implementation of tpncp provided by a plugin in AC. We might upstream these changes, but for now we prefer to use it if applicable. And even if we do upstream it, we need the option to update the plugin without waiting for WS release._
epan/dissectors/packet-acdr.c$"        Udp_Dissector_Table = find_dissector_table(""udp.port"")_"$0$the mixed capitalization (Rtp_Dissector_Table, Udp_Dissector_Table) is not consistent, can you use lower-case for them?_
epan/dissectors/packet-acdr.c$"        Udp_Dissector_Table = find_dissector_table(""udp.port"")_"$1$Done_
epan/dissectors/packet-acdr.c$}$0$missing modelines, see doc/packet-PROTOABBREV.c and other dissectors for examples, you can take it from https://www.wireshark.org/tools/modelines.html_
epan/dissectors/packet-acdr.c$}$1$Done_
epan/dissectors/packet-acdr.c$"    char *str = ""N/A""_"$0$"should this be ""const char *""?_"
epan/dissectors/packet-acdr.c$"    char *str = ""N/A""_"$1$Done_
epan/dissectors/packet-acdr.c$"        char *session_ext = """"_"$0$likewise?_
epan/dissectors/packet-acdr.c$"        char *session_ext = """"_"$1$Done_
epan/dissectors/packet-xml.c$"    col_set_str(pinfo->cinfo, COL_INFO, ""QOE Event"")_"$0$This knowledge probably does not belong here, should it be added to the ACDR dissector instead?_
epan/dissectors/packet-xml.c$"    col_set_str(pinfo->cinfo, COL_INFO, ""QOE Event"")_"$1$Done_
epan/dissectors/packet-acdr.c$        case ACDR_T38:$0$Can you suggest what to do with this one? It's similar to the JSON case..._
diameter/TGPP.xml$"  <avp name=""Serving-Node-Indication"" code=""714"" mandatory=""must"" vendor-bit=""must"" vendor-id=""TGPP"" may-encrypt=""no"">"$0$missing this..._
diameter/TGPP.xml$"  <avp name=""Requested-Nodes"" code=""713"" mandatory=""must"" vendor-bit=""must"" vendor-id=""TGPP"" may-encrypt=""no"">"$0$kept tab indent ?_
epan/dissectors/packet-tls-utils.c$"    { SSL_HND_QUIC_TP_MIN_ACK_DELAY, ""min_ack_delay"" },"$0$move it after loss_bits_
epan/dissectors/packet-tls-utils.h$#define SSL_HND_QUIC_TP_MIN_ACK_DELAY                       56858$0$This does not seem to be an official codepoint. Please add a comment pointing to the draft._
debian/control$Recommends: libqt5multimedia5-plugins, libqt5svg5$0$This looks reasonable. For what it's worth, libqt5gui5 already recommends this package: _ https://packages.debian.org/buster/libqt5gui5_
packaging/rpm/wireshark.spec.in$Recommends:	qt5-qtsvg$0$"It looks like ""Recommends"" should work with SUSE and recent distros (Fedora >= 24) _ https://en.opensuse.org/openSUSE:Package_dependencies _ https://unix.stackexchange.com/questions/73690/rpmbuild-is-there-a-way-to-specify-recommended-packages _  _ I am not entirely sure about CentOS though._"
packaging/rpm/wireshark.spec.in$Recommends:	qt5-qtsvg$0$That tag has been introduced in rpm 4.12.0 _  _ https://rpm.org/wiki/Releases/4.12.0 _  _ I'm looking around to find out which rpm version is shipped with latest centos releases (no luck so far). In the meantime, I'm building it on centos7: _  _ https://gitlab.com/crondaemon/wireshark/-/jobs/427755817_
packaging/rpm/wireshark.spec.in$Recommends:	qt5-qtsvg$0$"I changed the ""recommends"" to ""depends"" / ""requires""._"
packaging/rpm/wireshark.spec.in$Recommends:	qt5-qtsvg$0$The build succeeded, but the package is not installed on CentOS 7 when I use: _  _  yum install epel-release _  yum install wireshark-qt-3.3.0-1.x86_64.rpm wireshark-3.3.0-1.x86_64.rpm _  _  _ Makes sense I guess since rpm --version shows 4.11.3 on CentOS 7._
ui/qt/main_window_preferences_frame.ui$"    <layout class=""QHBoxLayout"" name=""horizontalLayout_4"">"$0$Don't remove the vertical spacer because it will add space between each item in the window instead of having the space in the bottom._
ui/qt/main_window_preferences_frame.ui$"    <layout class=""QHBoxLayout"" name=""horizontalLayout_4"">"$1$Good point, hadn't realised this. Will make follow up to put it back._
tools/rpm-setup.sh$# libqt5-linguist-devel: OpenSUSE$1$Why this? I agree, but I can't recall why it was done this way in the first place._
tools/rpm-setup.sh$# libqt5-linguist-devel: OpenSUSE$0$It has been like that since the beginning: v2.3.0rc0-1815-g047023d443 _  _ Perhaps you were trying to reproduce the Debian packaging, and started with this package, then realized that more Qt packages were necessary. In any case, Qt 4 support is gone so qt-devel is useless._
tools/rpm-setup.sh$add_package BASIC_LIST qt5-linguist ||$0$Shouldn't they go into additional?_
tools/rpm-setup.sh$add_package BASIC_LIST qt5-linguist ||$0$No, when Qt is enabled, this is mandatory as specified in CMakeLists.txt._
tools/rpm-setup.sh$add_package BASIC_LIST qt5-qtmultimedia-devel ||$0$Additional?_
tools/rpm-setup.sh$add_package BASIC_LIST qt5-qtmultimedia-devel ||$0$Same as above. While technically you can build with -DBUILD_wireshark=0, that is not the default. _ debain-setup.sh also has Qt in BASIC_LIST._
tpncp/tpncp.dat$Audiocodes TrunkPack Network Control Protocol (TPNCP) Version L7.20.208.001$0$Please ignore the version. It is up-to-date :)_
epan/dissectors/asn1/ldap/packet-ldap-template.c$"#define PNAME  ""LDAP: Lightweight Directory Access Protocol"""$0$No, the convention for the long protocol name is that it's the full name, not prefixed by the initialism, and that the short name is the initialism._
epan/dissectors/packet-canopen.c$$0$Should use SDO_* value.  And if it's SDO_SCS_BLOCK_DOWN or SDO_SCS_BLOCK_UP shouldn't the if check for both?_
epan/dissectors/packet-canopen.c$$0$Modifying line with: _ if (sdo_cs == SDO_SCS_BLOCK_DOWN || sdo_cs == SDO_CCS_BLOCK_UP) _  _ Prompts compile error (error: logical ‘or’ of equal expressions [-Werror=logical-op]) since both constants have the same values (SCS and CCS are 'reversed' for client and server). _  _ That's the reason why I wrote the constants as comments._
